Date,high,low,close,volume,open
2023-03-06,69.81999969482422,62.63999938964844,62.77000045776367,19826100,64.5999984741211
2023-03-07,64.66000366210938,60.59000015258789,61.88999938964844,15821500,62.79999923706055
2023-03-08,65.45999908447266,60.349998474121094,63.0099983215332,15427800,61.20000076293945
2023-03-09,64.12000274658203,57.209999084472656,58.09000015258789,20996600,62.38999938964844
2023-03-10,56.40999984741211,51.56999969482422,53.439998626708984,25743800,56.38999938964844
2023-03-13,61.099998474121094,50.77000045776367,59.16999816894531,31431900,54.709999084472656
2023-03-14,66.20999908447266,61.099998474121094,62.650001525878906,25167800,65.44999694824219
2023-03-15,66.29000091552734,61.18000030517578,64.47000122070312,20825700,61.900001525878906
2023-03-16,68.62000274658203,63.119998931884766,67.77999877929688,15474500,64.4000015258789
2023-03-17,76.80000305175781,69.0999984741211,74.9800033569336,31006200,70.5199966430664
2023-03-20,77.05999755859375,72.87000274658203,75.13999938964844,19026400,76.76000213623047
2023-03-21,85.05000305175781,75.7699966430664,83.98999786376953,22991900,76.23999786376953
2023-03-22,85.37999725341797,76.86000061035156,77.13999938964844,24463200,84.25
2023-03-23,70.0,61.5099983215332,66.30000305175781,43152800,61.849998474121094
2023-03-24,68.7300033569336,63.529998779296875,67.83000183105469,21614100,64.18000030517578
2023-03-27,67.5999984741211,60.5099983215332,62.540000915527344,23531300,67.19999694824219
2023-03-28,64.05000305175781,61.11000061035156,63.040000915527344,11635900,62.31999969482422
2023-03-29,68.62999725341797,63.77000045776367,65.30000305175781,17673800,65.41999816894531
2023-03-30,67.16999816894531,63.68000030517578,64.16000366210938,11563100,66.52999877929688
2023-03-31,68.56999969482422,63.93000030517578,67.56999969482422,15926600,64.69999694824219
2023-04-03,68.33000183105469,62.70000076293945,63.61000061035156,14040300,66.01000213623047
2023-04-04,65.4000015258789,60.95000076293945,62.540000915527344,11654400,64.66000366210938
2023-04-05,63.04999923706055,59.220001220703125,60.779998779296875,10788900,62.540000915527344
2023-04-06,62.7400016784668,58.20000076293945,61.439998626708984,11875200,59.56999969482422
2023-04-10,66.19000244140625,59.65999984741211,66.12999725341797,14391800,61.369998931884766
2023-04-11,72.61000061035156,67.23999786376953,70.19000244140625,25348800,68.08999633789062
2023-04-12,72.0199966430664,66.2300033569336,67.83999633789062,16773400,70.7699966430664
2023-04-13,72.52999877929688,68.05000305175781,68.94999694824219,19718500,69.88999938964844
2023-04-14,71.69999694824219,67.87000274658203,69.91000366210938,12887200,69.30000305175781
